arm,step,raw_reward,success,eff_ratio,truncated,resp_len
adaptive,0,0.0,0.5,0.9922,0.046875,1347.28125
adaptive,1,0.125,0.5625,0.9886,0.4375,1724.890625
adaptive,2,0.140625,0.5703,0.9876,0.1875,1475.796875
adaptive,3,0.03125,0.5156,0.992,0.390625,1691.765625
adaptive,4,0.53125,0.7656,0.8819,0.109375,1438.53125
adaptive,5,0.65625,0.8281,0.7788,0.265625,1566.96875
adaptive,6,0.4375,0.7188,0.9287,0.390625,1730.5625
adaptive,7,0.3125,0.6562,0.9654,0.4375,1778.0
adaptive,8,0.5,0.75,0.8999,0.5,1882.625
adaptive,9,0.40625,0.7031,0.9402,0.546875,1871.5625
adaptive,10,0.5625,0.7812,0.8612,0.546875,1916.625
adaptive,11,-0.0625,0.4688,0.9913,0.640625,1904.90625
adaptive,12,-0.140625,0.4297,0.9876,0.734375,1967.703125
adaptive,13,0.03125,0.5156,0.992,0.6875,1974.265625
adaptive,14,0.1875,0.5938,0.9838,0.640625,1948.25
adaptive,15,0.375,0.6875,0.95,0.640625,1954.203125
adaptive,16,0.328125,0.6641,0.962,0.515625,1902.171875
adaptive,17,0.09375,0.5469,0.9902,0.75,2013.359375
adaptive,18,0.078125,0.5391,0.9908,0.59375,1970.484375
adaptive,19,0.109375,0.5547,0.9895,0.640625,1927.40625
adaptive,20,0.21875,0.6094,0.9804,0.6875,1967.265625
adaptive,21,0.078125,0.5391,0.9908,0.609375,1912.46875
adaptive,22,0.0625,0.5312,0.9913,0.640625,1922.15625
adaptive,23,0.1875,0.5938,0.9838,0.65625,1950.4375
adaptive,24,-0.4375,0.2812,0.9287,0.828125,1999.734375
adaptive,25,-0.1875,0.4062,0.9838,0.796875,1992.9375
adaptive,26,0.171875,0.5859,0.9852,0.5625,1851.34375
adaptive,27,-0.09375,0.4531,0.9902,0.75,2005.640625
adaptive,28,0.015625,0.5078,0.9921,0.71875,1974.546875
adaptive,29,0.09375,0.5469,0.9902,0.625,1935.703125
signal,0,-0.53125,0.2344,0.8819,0.890625,2021.140625
signal,1,-0.328125,0.3359,0.962,0.40625,1655.140625
signal,2,0.0,0.5,0.9922,0.265625,1574.328125
signal,3,-0.171875,0.4141,0.9852,0.3125,1626.75
signal,4,0.09375,0.5469,0.9902,0.390625,1762.421875
signal,5,-0.34375,0.3281,0.9583,0.828125,2022.375
signal,6,-0.46875,0.2656,0.9154,0.796875,1952.484375
signal,7,-0.109375,0.4453,0.9895,0.625,1891.234375
signal,8,-0.09375,0.4531,0.9902,0.75,1995.109375
signal,9,-0.140625,0.4297,0.9876,0.65625,1841.015625
signal,10,0.25,0.625,0.9763,0.5625,1922.03125
signal,11,-0.21875,0.3906,0.9804,0.71875,1919.09375
signal,12,-0.546875,0.2266,0.8719,0.953125,2046.71875
signal,13,-0.046875,0.4766,0.9917,0.640625,1959.578125
signal,14,0.0,0.5,0.9922,0.78125,1971.1875
signal,15,-0.125,0.4375,0.9886,0.6875,1950.390625
signal,16,-0.046875,0.4766,0.9917,0.71875,1963.546875
signal,17,0.1875,0.5938,0.9838,0.703125,1975.515625
signal,18,0.171875,0.5859,0.9852,0.515625,1893.453125
signal,19,0.125,0.5625,0.9886,0.734375,1956.546875
signal,20,0.203125,0.6016,0.9822,0.765625,2001.5
signal,21,0.328125,0.6641,0.962,0.59375,1924.34375
signal,22,0.15625,0.5781,0.9865,0.515625,1871.125
signal,23,-0.3125,0.3438,0.9654,0.78125,1997.8125
signal,24,-0.109375,0.4453,0.9895,0.734375,1964.234375
signal,25,-0.0625,0.4688,0.9913,0.65625,1964.015625
signal,26,0.06250026461074701,0.5313,0.9913,0.5625,1817.671875
signal,27,-0.28125,0.3594,0.9714,0.734375,1927.21875
signal,28,-0.03125,0.4844,0.992,0.515625,1782.5625
signal,29,0.03125,0.5156,0.992,0.578125,1924.890625
fep,0,-0.703125,0.1484,0.7235,0.953125,2043.515625
fep,1,-0.375,0.3125,0.95,0.265625,1628.796875
fep,2,-0.203125,0.3984,0.9822,0.4375,1646.734375
fep,3,-0.25,0.375,0.9763,0.5625,1783.625
fep,4,-0.234375,0.3828,0.9785,0.59375,1815.65625
fep,5,-0.375,0.3125,0.95,0.578125,1835.34375
fep,6,-0.09375,0.4531,0.9902,0.625,1845.1875
