arm,step,raw_reward,success,eff_ratio,truncated,resp_len
adaptive,0,0.125,0.5625,0.8633,0.0625,1208.3125
adaptive,1,0.1875,0.5938,0.8485,0.3125,1735.9375
adaptive,2,0.1875,0.5938,0.8485,0.09375,1434.84375
adaptive,3,0.125,0.5625,0.8633,0.21875,1483.5
adaptive,4,0.3125,0.6562,0.8006,0.3125,1694.96875
adaptive,5,0.34375,0.6719,0.7846,0.34375,1630.8125
adaptive,6,0.015625,0.5078,0.8748,0.6875,1895.5625
adaptive,7,0.140625,0.5703,0.8601,0.625,1889.4375
adaptive,8,0.0,0.5,0.875,0.59375,1907.9375
adaptive,9,0.09375,0.5469,0.8684,0.65625,1911.75
adaptive,10,0.0625,0.5312,0.8721,0.75,1966.0
adaptive,11,0.1875,0.5938,0.8485,0.5,1925.375
adaptive,12,0.375,0.6875,0.7671,0.71875,2002.0
adaptive,13,-0.09375,0.4531,0.8684,0.59375,1924.21875
adaptive,14,0.0625,0.5312,0.8721,0.75,1991.9375
adaptive,15,-0.125,0.4375,0.8633,0.71875,2010.03125
adaptive,16,0.3125,0.6562,0.8006,0.5625,1906.28125
adaptive,17,0.375,0.6875,0.7671,0.6875,1958.28125
adaptive,18,0.140625,0.5703,0.8601,0.71875,1992.40625
adaptive,19,0.0,0.5,0.875,0.75,2019.0
adaptive,20,-0.109375,0.4453,0.866,0.8125,1989.6875
adaptive,21,0.1875,0.5938,0.8485,0.78125,2000.03125
adaptive,22,0.0,0.5,0.875,0.59375,1968.03125
adaptive,23,0.0,0.5,0.875,0.625,1952.21875
adaptive,24,0.0,0.5,0.875,0.6875,1961.1875
adaptive,25,0.0625,0.5312,0.8721,0.75,1997.375
adaptive,26,0.0625,0.5312,0.8721,0.78125,2003.625
adaptive,27,-0.0625,0.4688,0.8721,0.8125,2004.96875
adaptive,28,0.0625,0.5312,0.8721,0.75,1994.53125
adaptive,29,0.0625,0.5312,0.8721,0.78125,2005.46875
signal,0,-0.4375,0.2812,0.7269,0.75,1974.25
